team_stat_id,game_id,match_id,team_code,winner,total_gold (k),tower_destory,slayer_taken,dragon_taken,game_duration
T-0001,G-001,M-01,KKBS,1,56.4,9,4,4,971
T-0002,G-001,M-01,VM,0,50.3,1,0,0,971
T-0003,G-002,M-01,KKBS,1,50.2,9,3,3,832
T-0004,G-002,M-01,VM,0,41.9,0,1,0,832
T-0005,G-003,M-02,PH,0,42.9,0,0,1,893
T-0006,G-003,M-02,TE,1,48.8,9,4,1,893
T-0007,G-004,M-02,PH,0,34.8,3,2,1,745
T-0008,G-004,M-02,TE,1,38.4,6,1,2,745
T-0009,G-005,M-03,HUSO,0,39.6,1,0,1,832
T-0010,G-005,M-03,CP,1,49.2,7,3,1,832
T-0011,G-006,M-03,HUSO,0,19.2,0,0,1,468
T-0012,G-006,M-03,CP,1,26.7,5,1,0,468
T-0013,G-007,M-04,RX,1,40.7,7,0,2,770
T-0014,G-007,M-04,PH,0,36.4,1,2,0,770
T-0015,G-008,M-04,RX,1,81.7,8,2,2,1521
T-0016,G-008,M-04,PH,0,75.6,8,4,1,1521
T-0017,G-009,M-05,AMS,0,46.7,1,1,1,978
T-0018,G-009,M-05,LAW,1,56,9,4,2,978
T-0019,G-010,M-05,AMS,0,38,0,0,1,736
T-0020,G-010,M-05,LAW,1,44.8,9,3,2,736
T-0021,G-011,M-06,IC,0,14.8,0,0,0,413
T-0022,G-011,M-06,AG,1,22.6,5,1,2,413
T-0023,G-012,M-06,IC,0,54,7,3,1,1106
T-0024,G-012,M-06,AG,1,57.7,6,1,3,1106
T-0025,G-013,M-07,MD,1,31.7,6,2,2,588
T-0026,G-013,M-07,EN,0,25.5,0,1,0,588
T-0027,G-014,M-07,EN,0,27,0,1,0,655
T-0028,G-014,M-07,MD,1,36.4,9,2,3,655
T-0029,G-015,M-08,LAW,0,46.2,4,3,2,1174
T-0030,G-015,M-08,ED,1,50.2,7,2,2,1174
T-0031,G-016,M-08,ED,1,40.9,8,2,2,767
T-0032,G-016,M-08,LAW,0,36.9,1,1,1,767
T-0033,G-017,M-09,RX,0,49.6,8,2,2,973
T-0034,G-017,M-09,VM,1,52.4,4,3,1,973
T-0035,G-018,M-09,VM,1,35.1,8,3,2,593
T-0036,G-018,M-09,RX,0,23.2,0,0,0,593
T-0037,G-019,M-10,HUSO,0,29.2,0,0,2,663
T-0038,G-019,M-10,PH,1,36,7,3,1,663
T-0039,G-020,M-10,PH,0,52.8,8,1,3,1024
T-0040,G-020,M-10,HUSO,1,55.3,7,3,0,1024
T-0041,G-021,M-11,RX,0,38.2,2,2,1,816
T-0042,G-021,M-11,CP,1,41.3,6,2,1,816
T-0043,G-022,M-11,RX,0,40.1,3,0,1,783
T-0044,G-022,M-11,CP,1,44.5,9,0,0,783
T-0045,G-023,M-12,KKBS,1,37.2,7,2,3,606
T-0046,G-023,M-12,TE,0,24.1,0,1,0,606
T-0047,G-024,M-12,KKBS,1,60.3,9,4,3,1048
T-0048,G-024,M-12,TE,0,50.1,3,0,1,1048
T-0049,G-025,M-13,VM,1,44.8,4,1,2,844
T-0050,G-025,M-13,PH,0,44.5,7,2,2,844
T-0051,G-026,M-13,VM,1,98.7,9,4,2,1923
